route_id,background_image
hoenn_route_101,assets/backgrounds/hoenn_route_101_emerald.png
hoenn_city_littleroot_town,assets/backgrounds/hoenn_city_littleroot_town_emerald.png
hoenn_city_oldale_town,assets/backgrounds/hoenn_city_oldale_town_emerald.png
hoenn_route_103,assets/backgrounds/hoenn_route_103_emerald.png
hoenn_route_102,assets/backgrounds/hoenn_route_102_emerald.png
hoenn_city_petalburg_city,assets/backgrounds/hoenn_city_petalburg_city_emerald.png
hoenn_route_104,assets/backgrounds/hoenn_route_104_emerald.png
hoenn_dungeon_petalburg_woods,assets/backgrounds/hoenn_dungeon_petalburg_woods_emerald.png
hoenn_city_rustboro_city,assets/backgrounds/hoenn_city_rustboro_city_emerald.png
hoenn_route_116,assets/backgrounds/hoenn_route_116_emerald.png
hoenn_dungeon_rusturf_tunnel,assets/backgrounds/hoenn_dungeon_rusturf_tunnel_emerald.png
hoenn_route_106,assets/backgrounds/hoenn_route_106_emerald.png
hoenn_city_dewford_town,assets/backgrounds/hoenn_city_dewford_town_emerald.png
hoenn_dungeon_granite_cave,assets/backgrounds/hoenn_dungeon_granite_cave_emerald.png
hoenn_route_107,assets/backgrounds/hoenn_route_107_emerald.png
hoenn_route_108,assets/backgrounds/hoenn_route_108_emerald.png
hoenn_route_109,assets/backgrounds/hoenn_route_109_emerald.png
hoenn_city_slateport_city,assets/backgrounds/hoenn_city_slateport_city_emerald.png
hoenn_route_110,assets/backgrounds/hoenn_route_110_emerald.png
hoenn_city_mauville_city,assets/backgrounds/hoenn_city_mauville_city_emerald.png
hoenn_route_117,assets/backgrounds/hoenn_route_117_emerald.png
hoenn_city_verdanturf_town,assets/backgrounds/hoenn_city_verdanturf_town_emerald.png
hoenn_route_111,assets/backgrounds/hoenn_route_111_emerald.png
hoenn_route_112,assets/backgrounds/hoenn_route_112_emerald.png
hoenn_dungeon_fiery_path,assets/backgrounds/hoenn_dungeon_fiery_path_emerald.png
hoenn_route_113,assets/backgrounds/hoenn_route_113_emerald.png
hoenn_city_fallarbor_town,assets/backgrounds/hoenn_city_fallarbor_town_emerald.png
hoenn_route_114,assets/backgrounds/hoenn_route_114_emerald.png
hoenn_dungeon_meteor_falls,assets/backgrounds/hoenn_dungeon_meteor_falls_emerald.png
hoenn_dungeon_mt_chimney,assets/backgrounds/hoenn_dungeon_mt_chimney_emerald.png
hoenn_dungeon_jagged_pass,assets/backgrounds/hoenn_dungeon_jagged_pass_emerald.png
hoenn_city_lavaridge_town,assets/backgrounds/hoenn_city_lavaridge_town_emerald.png
hoenn_dungeon_route_111_desert,assets/backgrounds/hoenn_dungeon_route_111_desert_emerald.png
hoenn_dungeon_new_mauville,assets/backgrounds/hoenn_dungeon_new_mauville_emerald.png
hoenn_route_115,assets/backgrounds/hoenn_route_115_emerald.png
hoenn_route_105,assets/backgrounds/hoenn_route_105_emerald.png
hoenn_dungeon_abandoned_ship,assets/backgrounds/hoenn_dungeon_abandoned_ship_emerald.png
hoenn_route_118,assets/backgrounds/hoenn_route_118_emerald.png
hoenn_route_119,assets/backgrounds/hoenn_route_119_emerald.png
hoenn_dungeon_weather_institute,assets/backgrounds/hoenn_dungeon_weather_institute_emerald.png
hoenn_city_fortree_city,assets/backgrounds/hoenn_city_fortree_city_emerald.png
hoenn_route_120,assets/backgrounds/hoenn_route_120_emerald.png
hoenn_route_121,assets/backgrounds/hoenn_route_121_emerald.png
hoenn_dungeon_safari_zone,assets/backgrounds/hoenn_dungeon_safari_zone_emerald.png
hoenn_city_lilycove_city,assets/backgrounds/hoenn_city_lilycove_city_emerald.png
hoenn_route_122,assets/backgrounds/hoenn_route_122_emerald.png
hoenn_dungeon_mt_pyre,assets/backgrounds/hoenn_dungeon_mt_pyre_emerald.png
hoenn_route_123,assets/backgrounds/hoenn_route_123_emerald.png
hoenn_dungeon_magma_hideout,assets/backgrounds/hoenn_dungeon_magma_hideout_emerald.png
hoenn_dungeon_aqua_hideout,assets/backgrounds/hoenn_dungeon_aqua_hideout_emerald.png
hoenn_route_124,assets/backgrounds/hoenn_route_124_emerald.png
hoenn_city_mossdeep_city,assets/backgrounds/hoenn_city_mossdeep_city_emerald.png
hoenn_route_125,assets/backgrounds/hoenn_route_125_emerald.png
hoenn_dungeon_shoal_cave,assets/backgrounds/hoenn_dungeon_shoal_cave_emerald.png
hoenn_dungeon_underwater_route_124,assets/backgrounds/hoenn_dungeon_underwater_route_124_emerald.png
hoenn_dungeon_underwater_route_125,assets/backgrounds/hoenn_dungeon_underwater_route_125_emerald.png
hoenn_dungeon_underwater_route_105,assets/backgrounds/hoenn_dungeon_underwater_route_105_emerald.png
hoenn_route_127,assets/backgrounds/hoenn_route_127_emerald.png
hoenn_dungeon_underwater_route_127,assets/backgrounds/hoenn_dungeon_underwater_route_127_emerald.png
hoenn_route_126,assets/backgrounds/hoenn_route_126_emerald.png
hoenn_dungeon_underwater_route_126,assets/backgrounds/hoenn_dungeon_underwater_route_126_emerald.png
hoenn_city_sootopolis_city,assets/backgrounds/hoenn_city_sootopolis_city_emerald.png
hoenn_route_128,assets/backgrounds/hoenn_route_128_emerald.png
hoenn_dungeon_underwater_route_128,assets/backgrounds/hoenn_dungeon_underwater_route_128_emerald.png
hoenn_dungeon_seafloor_cavern,assets/backgrounds/hoenn_dungeon_seafloor_cavern_emerald.png
hoenn_route_129,assets/backgrounds/hoenn_route_129_emerald.png
hoenn_dungeon_underwater_route_129,assets/backgrounds/hoenn_dungeon_underwater_route_129_emerald.png
hoenn_route_130,assets/backgrounds/hoenn_route_130_emerald.png
hoenn_city_pacifidlog_town,assets/backgrounds/hoenn_city_pacifidlog_town_emerald.png
hoenn_route_131,assets/backgrounds/hoenn_route_131_emerald.png
hoenn_dungeon_sky_pillar,assets/backgrounds/hoenn_dungeon_sky_pillar_emerald.png
hoenn_dungeon_cave_of_origin,assets/backgrounds/hoenn_dungeon_cave_of_origin_emerald.png
hoenn_city_ever_grande_city,assets/backgrounds/hoenn_city_ever_grande_city_emerald.png
hoenn_dungeon_victory_road,assets/backgrounds/hoenn_dungeon_victory_road_emerald.png
hoenn_route_132,assets/backgrounds/hoenn_route_132_emerald.png
hoenn_route_133,assets/backgrounds/hoenn_route_133_emerald.png
hoenn_route_134,assets/backgrounds/hoenn_route_134_emerald.png
