route_id,background_image
johto_city_azalea_town,assets/backgrounds/johto_city_azalea_town_hgss.png
johto_city_blackthorn_city,assets/backgrounds/johto_city_blackthorn_city_hgss.png
johto_city_cherrygrove_city,assets/backgrounds/johto_city_cherrygrove_city_hgss.png
johto_city_cianwood_city,assets/backgrounds/johto_city_cianwood_city_hgss.png
johto_city_ecruteak_city,assets/backgrounds/johto_city_ecruteak_city_hgss.png
johto_city_goldenrod_city,assets/backgrounds/johto_city_goldenrod_city_hgss.png
johto_city_mahogany_town,assets/backgrounds/johto_city_mahogany_town_hgss.png
johto_city_new_bark_town,assets/backgrounds/johto_city_new_bark_town_hgss.png
johto_city_olivine_city,assets/backgrounds/johto_city_olivine_city_hgss.png
johto_city_violet_city,assets/backgrounds/johto_city_violet_city_hgss.png
johto_dungeon_bell_tower,assets/backgrounds/johto_dungeon_bell_tower_hgss.png
johto_dungeon_burned_tower,assets/backgrounds/johto_dungeon_burned_tower_hgss.png
johto_dungeon_dark_cave,assets/backgrounds/johto_dungeon_dark_cave_hgss.png
johto_dungeon_dragons_den,assets/backgrounds/johto_dungeon_dragons_den_hgss.png
johto_dungeon_ice_path,assets/backgrounds/johto_dungeon_ice_path_hgss.png
johto_dungeon_ilex_forest,assets/backgrounds/johto_dungeon_ilex_forest_hgss.png
johto_dungeon_mt_mortar,assets/backgrounds/johto_dungeon_mt_mortar_hgss.png
johto_dungeon_national_park,assets/backgrounds/johto_dungeon_national_park_hgss.png
johto_dungeon_ruins_of_alph,assets/backgrounds/johto_dungeon_ruins_of_alph_hgss.png
johto_dungeon_slowpoke_well,assets/backgrounds/johto_dungeon_slowpoke_well_hgss.png
johto_dungeon_sprout_tower,assets/backgrounds/johto_dungeon_sprout_tower_hgss.png
johto_dungeon_tohjo_falls,assets/backgrounds/johto_dungeon_tohjo_falls_hgss.png
johto_dungeon_union_cave,assets/backgrounds/johto_dungeon_union_cave_hgss.png
johto_dungeon_whirl_islands,assets/backgrounds/johto_dungeon_whirl_islands_hgss.png
johto_route_29,assets/backgrounds/johto_route_29_hgss.png
johto_route_30,assets/backgrounds/johto_route_30_hgss.png
johto_route_31,assets/backgrounds/johto_route_31_hgss.png
johto_route_32,assets/backgrounds/johto_route_32_hgss.png
johto_route_33,assets/backgrounds/johto_route_33_hgss.png
johto_route_34,assets/backgrounds/johto_route_34_hgss.png
johto_route_35,assets/backgrounds/johto_route_35_hgss.png
johto_route_36,assets/backgrounds/johto_route_36_hgss.png
johto_route_37,assets/backgrounds/johto_route_37_hgss.png
johto_route_38,assets/backgrounds/johto_route_38_hgss.png
johto_route_39,assets/backgrounds/johto_route_39_hgss.png
johto_route_40,assets/backgrounds/johto_route_40_hgss.png
johto_route_41,assets/backgrounds/johto_route_41_hgss.png
johto_route_42,assets/backgrounds/johto_route_42_hgss.png
johto_route_43,assets/backgrounds/johto_route_43_hgss.png
johto_route_44,assets/backgrounds/johto_route_44_hgss.png
johto_route_45,assets/backgrounds/johto_route_45_hgss.png
johto_route_46,assets/backgrounds/johto_route_46_hgss.png
johto_route_47,assets/backgrounds/johto_route_47_hgss.png
johto_route_48,assets/backgrounds/johto_route_48_hgss.png
johto_sea_route_40,assets/backgrounds/johto_sea_route_40_hgss.png
johto_sea_route_41,assets/backgrounds/johto_sea_route_41_hgss.png
