route_id,route_name_fr,zone_type,combat_enabled,encounter_species_count,methods,background_image,source_location
"hoenn_route_101","Route 101 (Hoenn)","route","true","3","walk","assets/backgrounds/hoenn_route_101_emerald.png","route-101"
"hoenn_city_littleroot_town","Littleroot Town (Hoenn)","town","false","0","","assets/backgrounds/hoenn_city_littleroot_town_emerald.png","littleroot-town"
"hoenn_city_oldale_town","Oldale Town (Hoenn)","town","false","0","","assets/backgrounds/hoenn_city_oldale_town_emerald.png","oldale-town"
"hoenn_route_103","Route 103 (Hoenn)","route","true","8","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_103_emerald.png","route-103"
"hoenn_route_102","Route 102 (Hoenn)","route","true","10","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_102_emerald.png","route-102"
"hoenn_city_petalburg_city","Petalburg City (Hoenn)","town","false","4","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_city_petalburg_city_emerald.png","petalburg-city"
"hoenn_route_104","Route 104 (Hoenn)","route","true","7","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_104_emerald.png","route-104"
"hoenn_dungeon_petalburg_woods","Petalburg Woods (Hoenn)","dungeon","true","7","walk","assets/backgrounds/hoenn_dungeon_petalburg_woods_emerald.png","petalburg-woods"
"hoenn_city_rustboro_city","Rustboro City (Hoenn)","town","false","0","","assets/backgrounds/hoenn_city_rustboro_city_emerald.png","rustboro-city"
"hoenn_route_116","Route 116 (Hoenn)","route","true","6","walk","assets/backgrounds/hoenn_route_116_emerald.png","route-116"
"hoenn_dungeon_rusturf_tunnel","Rusturf Tunnel (Hoenn)","dungeon","true","1","walk","assets/backgrounds/hoenn_dungeon_rusturf_tunnel_emerald.png","rusturf-tunnel"
"hoenn_route_106","Route 106 (Hoenn)","route","true","5","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_106_emerald.png","route-106"
"hoenn_city_dewford_town","Dewford Town (Hoenn)","town","false","5","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_city_dewford_town_emerald.png","dewford-town"
"hoenn_dungeon_granite_cave","Granite Cave (Hoenn)","dungeon","true","7","rock-smash|walk","assets/backgrounds/hoenn_dungeon_granite_cave_emerald.png","granite-cave"
"hoenn_route_107","Route 107 (Hoenn)","route","true","5","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_107_emerald.png","route-107"
"hoenn_route_108","Route 108 (Hoenn)","route","true","5","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_108_emerald.png","route-108"
"hoenn_route_109","Route 109 (Hoenn)","route","true","5","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_109_emerald.png","route-109"
"hoenn_city_slateport_city","Slateport City (Hoenn)","town","false","5","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_city_slateport_city_emerald.png","slateport-city"
"hoenn_route_110","Route 110 (Hoenn)","route","true","11","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_110_emerald.png","route-110"
"hoenn_city_mauville_city","Mauville City (Hoenn)","town","false","0","","assets/backgrounds/hoenn_city_mauville_city_emerald.png","mauville-city"
"hoenn_route_117","Route 117 (Hoenn)","route","true","9","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_117_emerald.png","route-117"
"hoenn_city_verdanturf_town","Verdanturf Town (Hoenn)","town","false","0","","assets/backgrounds/hoenn_city_verdanturf_town_emerald.png","verdanturf-town"
"hoenn_route_111","Route 111 (Hoenn)","route","true","5","good-rod|old-rod|rock-smash|super-rod|surf","assets/backgrounds/hoenn_route_111_emerald.png","route-111"
"hoenn_route_112","Route 112 (Hoenn)","route","true","2","walk","assets/backgrounds/hoenn_route_112_emerald.png","route-112"
"hoenn_dungeon_fiery_path","Fiery Path (Hoenn)","dungeon","true","6","walk","assets/backgrounds/hoenn_dungeon_fiery_path_emerald.png","fiery-path"
"hoenn_route_113","Route 113 (Hoenn)","route","true","3","walk","assets/backgrounds/hoenn_route_113_emerald.png","route-113"
"hoenn_city_fallarbor_town","Fallarbor Town (Hoenn)","town","false","0","","assets/backgrounds/hoenn_city_fallarbor_town_emerald.png","fallarbor-town"
"hoenn_route_114","Route 114 (Hoenn)","route","true","10","good-rod|old-rod|rock-smash|super-rod|surf|walk","assets/backgrounds/hoenn_route_114_emerald.png","route-114"
"hoenn_dungeon_meteor_falls","Meteor Falls (Hoenn)","dungeon","true","8","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_dungeon_meteor_falls_emerald.png","meteor-falls"
"hoenn_dungeon_mt_chimney","Mt. Chimney (Hoenn)","dungeon","false","0","","assets/backgrounds/hoenn_dungeon_mt_chimney_emerald.png","mt-chimney"
"hoenn_dungeon_jagged_pass","Jagged Pass (Hoenn)","dungeon","true","3","walk","assets/backgrounds/hoenn_dungeon_jagged_pass_emerald.png","jagged-pass"
"hoenn_city_lavaridge_town","Lavaridge Town (Hoenn)","town","false","0","","assets/backgrounds/hoenn_city_lavaridge_town_emerald.png","lavaridge-town"
"hoenn_dungeon_route_111_desert","Route 111 Desert (Hoenn)","dungeon","true","4","walk","assets/backgrounds/hoenn_dungeon_route_111_desert_emerald.png","route-111-desert"
"hoenn_dungeon_new_mauville","New Mauville (Hoenn)","dungeon","true","4","walk","assets/backgrounds/hoenn_dungeon_new_mauville_emerald.png","new-mauville"
"hoenn_route_115","Route 115 (Hoenn)","route","true","9","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_115_emerald.png","route-115"
"hoenn_route_105","Route 105 (Hoenn)","route","true","5","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_105_emerald.png","route-105"
"hoenn_dungeon_abandoned_ship","Abandoned Ship (Hoenn)","dungeon","true","3","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_dungeon_abandoned_ship_emerald.png","abandoned-ship"
"hoenn_route_118","Route 118 (Hoenn)","route","true","11","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_118_emerald.png","route-118"
"hoenn_route_119","Route 119 (Hoenn)","route","true","10","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_119_emerald.png","route-119"
"hoenn_dungeon_weather_institute","Weather Institute (Hoenn)","dungeon","false","0","","assets/backgrounds/hoenn_dungeon_weather_institute_emerald.png","weather-institute"
"hoenn_city_fortree_city","Fortree City (Hoenn)","town","false","0","","assets/backgrounds/hoenn_city_fortree_city_emerald.png","fortree-city"
"hoenn_route_120","Route 120 (Hoenn)","route","true","10","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_120_emerald.png","route-120"
"hoenn_route_121","Route 121 (Hoenn)","route","true","11","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_121_emerald.png","route-121"
"hoenn_dungeon_safari_zone","Safari Zone (Hoenn)","dungeon","true","38","good-rod|old-rod|rock-smash|super-rod|surf|walk","assets/backgrounds/hoenn_dungeon_safari_zone_emerald.png","safari-zone"
"hoenn_city_lilycove_city","Lilycove City (Hoenn)","town","false","6","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_city_lilycove_city_emerald.png","lilycove-city"
"hoenn_route_122","Route 122 (Hoenn)","route","true","6","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_122_emerald.png","route-122"
"hoenn_dungeon_mt_pyre","Mt. Pyre (Hoenn)","dungeon","true","5","walk","assets/backgrounds/hoenn_dungeon_mt_pyre_emerald.png","mt-pyre"
"hoenn_route_123","Route 123 (Hoenn)","route","true","11","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_123_emerald.png","route-123"
"hoenn_dungeon_magma_hideout","Magma Hideout (Hoenn)","dungeon","true","3","walk","assets/backgrounds/hoenn_dungeon_magma_hideout_emerald.png","magma-hideout"
"hoenn_dungeon_aqua_hideout","Aqua Hideout (Hoenn)","dungeon","false","0","","assets/backgrounds/hoenn_dungeon_aqua_hideout_emerald.png","aqua-hideout"
"hoenn_route_124","Route 124 (Hoenn)","route","true","6","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_124_emerald.png","route-124"
"hoenn_city_mossdeep_city","Mossdeep City (Hoenn)","town","false","6","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_city_mossdeep_city_emerald.png","mossdeep-city"
