route_id,route_name_fr,zone_type,combat_enabled,pokemon_id,pokemon_name_en,pokemon_name_fr,spawn_weight,min_level,max_level,methods
kanto_city_pallet_town,Bourg Palette (Kanto),town,false,19,rattata,Rattata,16,1,10,walk
kanto_city_pallet_town,Bourg Palette (Kanto),town,false,21,spearow,Piafabec,16,1,10,walk
kanto_city_pallet_town,Bourg Palette (Kanto),town,false,174,igglybuff,Toudoudou,16,1,10,walk
kanto_city_pallet_town,Bourg Palette (Kanto),town,false,175,togepi,Togepi,16,1,10,walk
kanto_city_pallet_town,Bourg Palette (Kanto),town,false,263,zigzagoon,Zigzaton,16,1,10,walk
kanto_city_pallet_town,Bourg Palette (Kanto),town,false,300,skitty,Skitty,16,1,10,walk
kanto_city_pallet_town,Bourg Palette (Kanto),town,false,399,bidoof,Keunotor,16,1,10,walk
kanto_city_pallet_town,Bourg Palette (Kanto),town,false,235,smeargle,Queulorior,14,1,10,walk
kanto_city_pallet_town,Bourg Palette (Kanto),town,false,203,girafarig,Girafarig,5,4,13,walk
kanto_route_1,Route 1 (Kanto),route,true,16,pidgey,Roucool,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,21,spearow,Piafabec,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,41,zubat,Nosferapti,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,161,sentret,Fouinette,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,163,hoothoot,Hoothoot,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,173,cleffa,Mélo,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,187,hoppip,Granivol,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,276,taillow,Nirondelle,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,287,slakoth,Parecool,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,396,starly,Étourmi,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,399,bidoof,Keunotor,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,401,kricketot,Crikzik,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,440,happiny,Ptiravi,16,1,4,walk
kanto_route_1,Route 1 (Kanto),route,true,292,shedinja,Munja,12,3,7,walk
kanto_city_viridian_city,Jadielle (Kanto),town,false,23,ekans,Abo,16,3,12,walk
kanto_city_viridian_city,Jadielle (Kanto),town,false,29,nidoran-f,Nidoran♀,16,3,12,walk
kanto_city_viridian_city,Jadielle (Kanto),town,false,32,nidoran-m,Nidoran♂,16,3,12,walk
kanto_city_viridian_city,Jadielle (Kanto),town,false,287,slakoth,Parecool,16,3,12,walk
kanto_city_viridian_city,Jadielle (Kanto),town,false,293,whismur,Chuchmur,16,3,12,walk
kanto_city_viridian_city,Jadielle (Kanto),town,false,298,azurill,Azurill,16,2,11,walk
kanto_city_viridian_city,Jadielle (Kanto),town,false,300,skitty,Skitty,16,3,12,walk
kanto_city_viridian_city,Jadielle (Kanto),town,false,453,croagunk,Cradopaud,16,4,13,walk
kanto_city_viridian_city,Jadielle (Kanto),town,false,203,girafarig,Girafarig,5,6,15,walk
kanto_route_2,Route 2 (Kanto),route,true,16,pidgey,Roucool,16,1,4,walk
kanto_route_2,Route 2 (Kanto),route,true,21,spearow,Piafabec,16,1,4,walk
kanto_route_2,Route 2 (Kanto),route,true,52,meowth,Miaouss,16,1,4,walk
kanto_route_2,Route 2 (Kanto),route,true,84,doduo,Doduo,16,2,5,walk
kanto_route_2,Route 2 (Kanto),route,true,163,hoothoot,Hoothoot,16,1,4,walk
kanto_route_2,Route 2 (Kanto),route,true,167,spinarak,Mimigal,16,1,4,walk
kanto_route_2,Route 2 (Kanto),route,true,276,taillow,Nirondelle,16,1,4,walk
kanto_route_2,Route 2 (Kanto),route,true,296,makuhita,Makuhita,16,1,4,walk
kanto_route_2,Route 2 (Kanto),route,true,307,meditite,Méditikka,16,1,4,walk
kanto_route_2,Route 2 (Kanto),route,true,333,swablu,Tylton,16,2,5,walk
kanto_route_2,Route 2 (Kanto),route,true,343,baltoy,Balbuto,16,2,5,walk
kanto_route_2,Route 2 (Kanto),route,true,396,starly,Étourmi,16,1,4,walk
kanto_route_2,Route 2 (Kanto),route,true,406,budew,Rozbouton,16,1,4,walk
kanto_route_2,Route 2 (Kanto),route,true,447,riolu,Riolu,15,1,4,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,10,caterpie,Chenipan,16,1,4,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,13,weedle,Aspicot,16,1,4,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,43,oddish,Mystherbe,16,3,6,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,46,paras,Paras,16,2,5,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,69,bellsprout,Chétiflor,16,3,6,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,167,spinarak,Mimigal,16,2,5,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,204,pineco,Pomdepik,16,2,5,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,265,wurmple,Chenipotte,16,1,4,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,406,budew,Rozbouton,16,2,5,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,412,burmy,Cheniti,16,2,5,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,11,metapod,Chrysacier,15,3,7,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,261,poochyena,Medhyèna,15,2,5,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,266,silcoon,Armulys,15,3,7,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,268,cascoon,Blindalys,15,3,7,walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,436,bronzor,Archéomire,15,3,6,rock-smash|walk
kanto_dungeon_viridian_forest,Foret de Jade (Kanto),dungeon,true,402,kricketune,Mélokrik,10,6,10,walk
kanto_city_pewter_city,Argenta (Kanto),town,false,209,snubbull,Snubbull,16,8,17,walk
kanto_city_pewter_city,Argenta (Kanto),town,false,307,meditite,Méditikka,16,7,16,walk
kanto_city_pewter_city,Argenta (Kanto),town,false,316,gulpin,Gloupti,16,8,17,walk
kanto_city_pewter_city,Argenta (Kanto),town,false,436,bronzor,Archéomire,15,8,17,walk
kanto_city_pewter_city,Argenta (Kanto),town,false,109,koffing,Smogo,13,8,17,walk
kanto_city_pewter_city,Argenta (Kanto),town,false,374,beldum,Terhal,13,8,17,walk
kanto_city_pewter_city,Argenta (Kanto),town,false,308,medicham,Charmina,9,11,21,walk
kanto_city_pewter_city,Argenta (Kanto),town,false,203,girafarig,Girafarig,5,10,19,walk
kanto_city_pewter_city,Argenta (Kanto),town,false,454,toxicroak,Coatox,4,12,22,walk
kanto_route_3,Route 3 (Kanto),route,true,21,spearow,Piafabec,16,2,6,walk
